الشركة,السوق,الرمز,السنة,الربع,نهاية الفترة,نوع الفترة,المقياس,القيمة,العملة,الوحدة,المصدر
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,العائد على متوسط رأس المال المستخدم,19.8,,percent,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,موثوقية الإمداد,99.9,,percent,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,instant,إجمالي الأصول,2551964000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,instant,حقوق الملكية,1721744000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,إجمالي إنتاج الغاز,11.4,,bscfd,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,إجمالي إنتاج الهيدروكربونات,12.9,,mmboed,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,instant,إجمالي احتياطيات الهيدروكربونات,247.2,,billion_boe,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,instant,إجمالي الالتزامات,830220000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,إجمالي إنتاج السوائل,10.7,,mmbpd,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,صافي الربح المعدل,413621000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,متوسط سعر النفط الخام المحقق,80.2,USD,USD/bbl,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,التوزيعات الأساسية المدفوعة,304325000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,النفقات الرأسمالية,188890000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,instant,النقد وما في حكمه,216642000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,التوزيعات المدفوعة,465918000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,التوزيعات لكل سهم,1.926,SAR,SAR/share,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,ربحية السهم الأساسية والمخفضة,1.63,SAR,SAR/share,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,التدفق النقدي الحر,319998000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,instant,نسبة المديونية (Gearing),4.5,,percent,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,الدخل قبل الضرائب والزكاة,782010000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,ضرائب الدخل والزكاة,-383588000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,instant,الالتزامات إلى حقوق الملكية,0.4676614053307738190758498324,,ratio,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,instant,الطاقة الإنتاجية القصوى المستدامة,12.0,,mmbpd,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,instant,صافي الطاقة الإنتاجية للكيماويات,57.6,,million_tonnes_per_year,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,صافي الربح,398422000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,صافي الربح العائد لمساهمي الشركة,393891000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,هامش صافي الربح,0.2433410146833290681787504909,,ratio,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,instant,صافي طاقة التكرير,4.1,,mmbpd,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,التدفق النقدي التشغيلي,508888000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,التكاليف التشغيلية,-1027049000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,الدخل التشغيلي,774625000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,دخل آخر مرتبط بالمبيعات,164375000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,التوزيعات المرتبطة بالأداء,161593000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,الإيرادات,1637299000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,الإيرادات والدخل الآخر المرتبط بالمبيعات,1801674000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,العائد على متوسط رأس المال المستخدم,21.1,,percent,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,موثوقية الإمداد,99.7,,percent,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,instant,إجمالي الأصول,2423630000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,instant,حقوق الملكية,1651355000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,إجمالي إنتاج الغاز,10.8,,bscfd,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,إجمالي إنتاج الهيدروكربونات,12.4,,mmboed,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,instant,إجمالي احتياطيات الهيدروكربونات,250.0,,billion_boe,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,instant,إجمالي الالتزامات,772275000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2024,,2024-12-31,fy,إجمالي إنتاج السوائل,10.3,,mmbpd,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2024-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,متوسط سعر النفط الخام المحقق,83.6,USD,USD/bbl,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,التوزيعات الأساسية المدفوعة,292639000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,النفقات الرأسمالية,158308000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,instant,النقد وما في حكمه,198973000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,التوزيعات المدفوعة,366674000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,التوزيعات لكل سهم,1.5458,SAR,SAR/share,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,ربحية السهم الأساسية والمخفضة,1.87,SAR,SAR/share,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,التدفق النقدي الحر,379506000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,instant,نسبة المديونية (Gearing),-6.3,,percent,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
